Time,RSL
2423.6,19.066
2423.7,19.142
2423.8,19.219
2423.9,19.329
2424.0,19.449
2424.1,19.540
2424.2,19.627
2424.3,19.722
2424.4,19.813
2424.5,19.919
2424.6,20.017
2424.7,20.119
2424.8,20.220
2424.9,20.352
2425.0,20.498
2425.1,20.641
2425.2,20.798
2425.3,20.987
2425.4,21.166
2425.5,21.347
2425.6,21.566
2425.7,21.831
2425.8,22.088
2425.9,22.342
2426.0,22.642
2426.1,22.913
2426.2,23.242
2426.3,23.618
2426.4,23.967
2426.5,24.353
2426.6,24.797
2426.7,25.262
2426.8,25.738
2426.9,26.233
2427.0,26.775
2427.1,27.315
2427.2,27.893
2427.3,28.467
2427.4,29.059
2427.5,29.699
2427.6,30.319
2427.7,31.014
2427.8,31.688
2427.9,32.383
2428.0,33.128
2428.1,33.862
2428.2,34.638
2428.3,35.370
2428.4,36.135
2428.5,36.908
2428.6,37.697
2428.7,38.471
2428.8,39.253
2428.9,40.052
2429.0,40.866
2429.1,41.664
2429.2,42.459
2429.3,43.275
2429.4,44.090
2429.5,44.935
2429.6,45.786
2429.7,46.641
2429.8,47.524
2429.9,48.312
2430.0,49.077
2430.1,49.782
2430.2,50.488
2430.3,51.139
2430.4,51.725
2430.5,52.318
2430.6,52.855
2430.7,53.389
2430.8,53.899
2430.9,54.456
2431.0,55.006
2431.1,55.503
2431.2,55.937
2431.3,56.289
2431.4,56.648
2431.5,56.932
2431.6,57.174
2431.7,57.382
2431.8,57.614
2431.9,57.805
2432.0,57.941
2432.1,58.052
2432.2,58.146
2432.3,58.219
2432.4,58.300
2432.5,58.386
2432.6,58.477
2432.7,58.549
2432.8,58.589
2432.9,58.605
2433.0,58.611
2433.1,58.609
2433.2,58.601
2433.3,58.609
2433.4,58.595
2433.5,58.580
2433.6,58.554
2433.7,58.521
2433.8,58.457
2433.9,58.426
2434.0,58.393
2434.1,58.358
2434.2,58.319
2434.3,58.285
2434.4,58.274
2434.5,58.255
2434.6,58.205
2434.7,58.125
2434.8,58.026
2434.9,57.984
2435.0,57.956
2435.1,57.929
2435.2,57.907
2435.3,57.891
